0;1;1
0;2;1
1;0;1
2;0;1
2;3;1
3;2;1
3;4;1
3;5;1
3;6;1
3;7;1
4;3;1
4;8;1
5;3;1
5;9;1
6;3;1
6;10;1
7;3;1
7;11;1
8;4;1
8;12;1
9;5;1
9;12;1
10;6;1
10;13;1
11;7;1
11;13;1
12;8;1
12;9;1
12;14;1
13;10;1
13;11;1
13;15;1
14;12;1
14;16;1
14;18;1
15;13;1
15;17;1
15;19;1
16;14;1
16;20;1
17;15;1
17;21;1
18;14;1
19;15;1
20;16;1
20;22;1
21;17;1
21;23;1
22;20;1
22;24;1
23;21;1
23;25;1
24;22;1
24;26;1
25;23;1
25;27;1
26;24;1
26;28;1
26;29;1
27;25;1
27;30;1
27;31;1
28;26;1
28;32;1
28;33;1
29;26;1
30;27;1
30;34;1
30;35;1
31;27;1
32;28;1
32;36;1
33;28;1
33;37;1
34;30;1
34;38;1
35;30;1
35;39;1
36;32;1
36;40;1
37;33;1
37;40;1
38;34;1
38;40;1
39;35;1
39;40;1
40;36;1
40;37;1
40;38;1
40;39;1
40;41;1
41;40;1
41;42;1
42;41;1
